Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Joaquinete,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,"RAMF, LAMF, RW",28,0,2026-06-30,12,1029,5,4.67,2,1.1,18.28,45.93,Spain,Spain,,0,0,no,4.46,4.11,68.09,1.49,11.76,0.17,0.25,0.17,1.49,2.09,0.96,1,0.09,0,0,5.6,0.44,1,0.09,0.41,0,0,31,2.71,35.48,16.129,0.17,3.5,32.5,1.31,26.67,2.19,36,0.7,5.6,62.5,10.76,45.53,3.41,2.97,0.26,20.29,2.89,0.96,26.59,74.34,5.69,61.54,5.16,96.61,9.36,63.55,21.25,83.13,2.01,52.17,18.48,29.78,0.1,1.57,0.09,0.09,0,0,0.61,1.66,78.95,4.11,51.06,0.35,50,1.57,1.14,4.55,78.85,,0.52,0,0,2.8,4,100
O. Bilyk,Epitsentr Kamyanets-Podilskyi,Epitsentr Kamyanets-Podilskyi,GK,27,150000,,12,1164,0,0,0,0,0.7,66.67,Ukraine,Ukraine,right,187,83,no,2.24,0.15,0,0.31,75,0,0,0,2.24,3.15,0.08,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,14.3,0.15,0.23,20.57,85.34,11.6,78.67,0,0,8.35,95.37,12.76,98.18,7.81,64.36,34.15,48,0,0,0,0,0,0,0,2.78,47.22,0.15,0,0.08,0,0,0,5.34,81.16,0.31,,,,0,0,0
I. Pakholyuk,Kolos Kovalivka,Kolos Kovalivka,GK,21,0,2027-12-31,12,1163,0,0,0,0,0.15,50,Ukraine,Ukraine,right,182,73,no,1.63,0,0,0.08,100,0,0,0,1.63,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,0.46,0,23.45,83.83,11.61,71.33,0,0,10.91,95.74,14.47,98.93,8.9,60,33.09,52.76,0,0,0,0,0,0,0,3.17,58.54,0.08,0,0.23,33.33,0.08,0,6.58,71.76,0.08,,,,0,0,0
N. Gagnidze,Kolos Kovalivka,Kolos Kovalivka,"RCMF, AMF",24,500000,2026-06-30,12,1085,0,1.52,3,2,13.85,52.69,Georgia,Georgia,right,180,68,no,6.3,4.48,74.07,2.49,40,0.41,0.6,0.33,2.57,3.69,1.16,1,0.08,0,0,1.82,0,0,0,0.13,0,0,13,1.08,23.08,0,0.25,1.49,50,0.17,0,1.33,56.25,0.33,1.33,62.5,4.65,51.79,1.82,1.16,0,17.25,0.75,0.91,26.29,81.39,6.64,76.25,5.81,94.29,7.38,82.02,23.89,85.07,1,33.33,15.09,27.53,0.17,1.41,0,0.08,0.08,0,1.08,2.82,64.71,2.41,51.72,0.41,20,1.58,0.91,3.15,71.05,,0,0,0,0.08,0,0
A. Rrapaj,Kolos Kovalivka,Kolos Kovalivka,"LCMF, CF, AMF",24,600000,2026-06-30,12,943,1,2.21,2,2.31,15.65,48.17,Albania,Albania,right,174,67,no,3.15,3.15,60.61,1.81,21.05,0.1,0.13,0,1.15,1.6,1.34,3,0.29,1,0.1,2.48,0.1,0,0,0.21,0,0,25,2.39,24,4,0.19,1.05,36.36,0.48,40,0.48,40,0.1,2.39,64,8.78,50,2.39,1.43,0.1,23.57,0.48,2.1,31.97,81.19,8.11,62.35,6.49,92.65,9.83,86.41,26.82,85.77,4.2,61.36,18.22,41,0.22,1.91,0,0,0.19,0,0.38,5.25,60,1.91,40,0.76,12.5,0.48,0.57,3.82,70,,1.53,0.1,0,4.1,1,100
D. Alefirenko,Kolos Kovalivka,Kolos Kovalivka,"RW, RAMF, RWF",25,0,,12,757,0,1.13,1,0.76,16.05,45.19,Ukraine,Ukraine,right,176,70,no,3.33,3.21,51.85,1.55,38.46,0,0,0.12,1.66,2.36,0.95,1,0.12,0,0,5.35,0,0,0,0.13,0,0,13,1.55,38.46,0,0.12,4.52,36.84,0,0,4.52,36.84,0,5.59,55.32,9.51,47.5,2.73,2.73,0.36,22.23,3.33,1.43,30.08,67.98,8.8,59.46,4.99,92.86,9.27,58.97,24.61,73.91,1.07,55.56,16.14,17.38,0.09,0.71,0.12,0,0.12,0,0.71,2.62,59.09,5.59,44.68,0.12,0,1.31,1.66,6.78,70.18,,0,0,0,0,0,0
Elias,Kolos Kovalivka,Kolos Kovalivka,"DMF, LCMF",27,0,,12,1104,2,1.46,1,0.69,18.34,56,Brazil,Brazil,right,185,77,no,9.05,7.42,59.34,3.26,67.5,0.33,0.45,0.33,4.32,6,1.96,3,0.24,0,0,1.14,0.16,1,0.08,0.12,1,0.08,14,1.14,50,14.286,0.08,0.33,0,0,0,0.33,0,0,0.82,70,5.05,54.84,0.73,0.9,0,28.29,0.41,2.04,43.13,82.8,14.27,66.29,6.28,97.4,16.3,92.5,36.28,88.31,6.52,56.25,20.42,36.77,0.06,0.82,0,0,0,0,0.16,8.4,67.96,1.79,31.82,0.65,25,0.57,0.16,7.17,73.86,,0.08,0.08,100,0,1,100
A. Tsurikov,Kolos Kovalivka,Kolos Kovalivka,LB,33,300000,2026-06-30,12,1046,2,2.02,0,0.52,8.09,59.57,Ukraine,Ukraine,left,185,83,no,5.68,3.1,66.67,1.81,52.38,0.17,0.24,0.26,3.44,4.71,0.52,1,0.09,0,0,1.12,0.17,2,0.17,0.17,0,0,15,1.29,40,13.333,0,1.29,26.67,1.03,25,0.26,33.33,0.09,0.6,42.86,1.72,45,2.07,1.2,0.17,23.83,1.46,0.6,32.27,77.33,15.32,69.66,5.25,96.72,6.88,77.5,26.33,83.66,4.65,55.56,18.25,33.96,0.05,0.52,0,0,0,0,0.17,5.08,67.8,1.72,45,0.69,50,0.52,0.26,8.43,64.29,,0.09,0.09,0,0,0,0
O. Kozak,Kudrivka,Kudrivka,"RW, RAMF, LAMF",31,350000,,12,986,1,1.98,0,0.67,18.89,41.55,Ukraine,Ukraine,left,174,70,no,6.39,5.39,59.32,3.29,30.56,0.09,0.11,0.27,3.1,3.86,1.1,2,0.18,0,0,3.83,0.09,1,0.09,0.18,0,0,19,1.73,52.63,5.263,0,2.83,45.16,1.1,33.33,1.73,52.63,0.09,3.19,51.43,7.39,38.27,1.92,1.92,0.64,17.16,1.83,1.73,25.01,74.45,7.03,61.04,5.57,93.44,7.3,70,19.81,80.65,2.65,58.62,18.72,32.84,0.06,0.64,0,0,0,0,0.09,2.46,62.96,3.65,45,0.09,100,0.73,1.28,4.93,81.48,,1.1,0.18,100,0.73,0,0
M. Melnychuk,Kudrivka,Kudrivka,LB,26,350000,,12,1013,0,0.02,1,0.23,13.33,53.33,Ukraine,Ukraine,left,181,76,no,7.73,7.11,63.75,2.49,57.14,0.36,0.45,0.27,2.84,3.62,0.53,3,0.27,0,0,1.07,0,0,0,0,0,0,1,0.09,0,0,0.09,1.95,27.27,1.78,20,0.18,100,0.36,0.8,66.67,2.22,32,0.62,0.98,0,25.94,1.15,0.18,36.25,77.45,13.86,66.03,5.77,92.31,11.37,86.72,28.7,86.07,5.69,51.56,19.35,30.84,0.02,0.8,0.09,0.09,0.09,0,0.18,4.09,58.7,1.78,40,0.53,0,0.27,0.53,7.91,55.06,,0.53,0,0,1.07,0,0
