Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Millán,Nacional,LCB,27,0,2027-12-31,38,3712,2,2.14,Colombia,Colombia,left,186,75,no
L. Amadé,Racing,GK,25,25000,2025-12-31,37,3641,0,0,Argentina,Argentina,right,193,87,yes
K. Dawson,Defensor Sporting,GK,33,700000,,37,3635,0,0,Uruguay,Uruguay,right,178,81,no
M. Goicoechea,Danubio,GK,37,100000,2026-12-31,37,3626,0,0,Uruguay,"Uruguay, Italy",right,186,82,no
G. Santilli,Cerro Largo,GK,24,0,2026-12-31,36,3553,1,0.04,Argentina,Argentina,right,191,74,no
Y. Calleros,Plaza Colonia,RCMF,27,600000,,36,3505,0,0.57,Uruguay,Uruguay,right,181,77,no
C. Almeida,River Plate,LCB,35,100000,,35,3446,4,2.59,Uruguay,Uruguay,left,170,65,no
G. Kagelmacher,Torque,LCB,37,300000,,35,3445,3,2.84,Uruguay,"Uruguay, Germany",right,183,79,no
G. de los Santos,Defensor Sporting,RCB,34,300000,,35,3415,4,4.06,Uruguay,Uruguay,right,181,75,no
J. Viacava,Defensor Sporting,LCB,26,250000,2025-12-31,35,3407,0,0.1,Uruguay,"Uruguay, Italy",left,182,77,no
L. Boggio,Nacional,"LCMF, RCMF, RDMF",26,0,2027-12-31,38,3397,3,4.38,Uruguay,"Uruguay, Italy",right,175,69,no
N. Gentilio,Progreso,GK,38,25000,,34,3354,0,0,Uruguay,Uruguay,left,180,73,no
S. Coates,Nacional,RCB,35,3500000,2025-12-31,35,3343,1,3.12,Uruguay,"Uruguay, Spain",right,196,94,no
E. Más,Juventud,LB,36,100000,2025-12-31,35,3336,1,0.77,Argentina,"Argentina, Italy",left,180,82,no
S. Sosa,Juventud,GK,39,250000,2025-12-31,34,3334,0,0,Uruguay,"Uruguay, Mexico",right,181,74,no
J. Silva,Plaza Colonia,GK,28,250000,,34,3332,0,0,Uruguay,Uruguay,right,196,98,no
M. Ferreira,Racing,"LCB, LWB, LB",33,350000,,36,3318,1,2.69,Uruguay,Uruguay,left,177,74,no
L. Fernández,Peñarol,"AMF, CF",27,7500000,2026-12-31,35,3312,11,9.66,Uruguay,Uruguay,left,166,62,no
I. Rossi,Juventud,"DMF, LCMF, RCMF",32,300000,2025-12-31,34,3291,0,0.32,Argentina,"Argentina, Italy",left,183,75,no
